N,phi,S_final,tau_align
10,0.0005026548245743669,0.42142453835119476,1.5100000000000011
25,0.0012566370614359175,0.7680107555356392,1.5100000000000011
50,0.002513274122871835,0.7881687997090852,2.010000000000001
100,0.00502654824574367,0.736530038572367,3.00999999999998
150,0.007539822368615503,0.7882168020852804,2.010000000000001
200,0.01005309649148734,0.7994986281622297,3.509999999999969
300,0.015079644737231007,0.7998626567626154,3.00999999999998
500,0.025132741228718346,0.8058726233797053,8.009999999999874
750,0.03769911184307752,0.7791867296161253,6.509999999999906
1000,0.05026548245743669,0.784840799608647,12.509999999999778
1500,0.07539822368615504,0.7874394828270678,17.00999999999986
2000,0.10053096491487339,0.7821150153928783,0.01
