time_min,N,B,S,phi
0,100,30.0,0.8899212324260746,0.00502654824574367
5,118,30.0,0.9007120111542964,0.00593132692997753
10,141,30.0,0.8983791895607031,0.007087433026498575
15,168,30.0,0.908534855351058,0.008444601052849365
20,200,30.0,0.8951577363211561,0.01005309649148734
25,237,30.0,0.8961884954978886,0.011912919342412497
30,282,30.0,0.9007448039977984,0.01417486605299715
35,336,30.0,0.8875445270110802,0.01688920210569873
40,400,30.0,0.8953446032047188,0.02010619298297468
45,475,30.0,0.8852707086935042,0.02387610416728243
50,565,30.0,0.8855027960564449,0.02839999758845173
55,672,30.0,0.8925579928632188,0.03377840421139746
60,800,30.0,0.8952888167980294,0.04021238596594936
