time_min,N,B,S,phi
0,100,0.0,-0.007395183215359447,0.00502654824574367
5,118,1.25,-0.055616794474388456,0.00593132692997753
10,141,2.5,-0.04869528855124265,0.007087433026498575
15,168,3.75,0.0435085378568974,0.008444601052849365
20,200,5.0,0.09737275338570074,0.01005309649148734
25,237,6.25,0.17271562119235295,0.011912919342412497
30,282,7.5,0.18468743805485047,0.01417486605299715
35,336,8.75,0.3085709515469543,0.01688920210569873
40,400,10.0,0.44850848015449374,0.02010619298297468
45,475,11.25,0.4983517204902795,0.02387610416728243
50,565,12.5,0.5576006688261457,0.02839999758845173
55,672,13.75,0.6166022892591414,0.03377840421139746
60,800,15.0,0.6403279295599492,0.04021238596594936
