B_mT,tau_seconds,kappa_inv_s,S_final,tau_times_kappa
5.0,0.01,0.25,-0.020735242677012395,0.0025
7.5,7.009999999999895,0.5625,0.2529198589891035,3.9431249999999407
10.0,3.00999999999998,1.0,0.3905772602844072,3.00999999999998
12.5,1.5100000000000011,1.5625,0.529833631550203,2.3593750000000018
15.0,1.5100000000000011,2.25,0.6323754448141726,3.3975000000000026
17.5,1.0100000000000007,3.0625,0.7097850758825264,3.093125000000002
20.0,1.0100000000000007,4.0,0.7668864151938499,4.040000000000003
22.5,1.0100000000000007,5.0625,0.8076802726271979,5.113125000000004
25.0,0.5100000000000002,6.25,0.8396542289027167,3.1875000000000013
27.5,0.5100000000000002,7.5625,0.8641237371244151,3.856875000000002
30.0,0.5100000000000002,9.0,0.8830690905333097,4.590000000000002
