N,phi,S_final,tau_align
10,0.0005026548245743669,0.7027479791873027,0.5100000000000002
25,0.0012566370614359175,0.8825834771079513,0.5100000000000002
50,0.002513274122871835,0.9009532730470586,0.5100000000000002
100,0.00502654824574367,0.8981082525924231,0.5100000000000002
150,0.007539822368615503,0.8869081518824635,0.5100000000000002
200,0.01005309649148734,0.8920137289997139,0.5100000000000002
300,0.015079644737231007,0.9031314129962936,0.5100000000000002
500,0.025132741228718346,0.9011622553281192,0.5100000000000002
750,0.03769911184307752,0.8926921175088894,0.5100000000000002
1000,0.05026548245743669,0.8943515537576324,0.5100000000000002
1500,0.07539822368615504,0.8910421507998323,0.5100000000000002
2000,0.10053096491487339,0.8902497772115711,0.5100000000000002
