time_min,N,B,S,phi
0,100,0.0,-0.007395183215359447,0.00502654824574367
5,118,2.5,0.003190370738456426,0.00593132692997753
10,141,5.0,0.10550146493188867,0.007087433026498575
15,168,7.5,0.24042824091508383,0.008444601052849365
20,200,10.0,0.40207639814632046,0.01005309649148734
25,237,12.5,0.5475945357674653,0.011912919342412497
30,282,15.0,0.6344356973613335,0.01417486605299715
35,336,17.5,0.7319126585223372,0.01688920210569873
40,400,20.0,0.7927905497545227,0.02010619298297468
45,475,22.5,0.8102834806001998,0.02387610416728243
50,565,25.0,0.8437296199435412,0.02839999758845173
55,672,27.5,0.8751507215127793,0.03377840421139746
60,800,30.0,0.8952888167980294,0.04021238596594936
